GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
marketplace-discount-layered,com.example.marketplace.controller,CartController,0,74,2,8,0,15,2,5,0,2
marketplace-discount-layered,com.example.marketplace.controller,HomeController,0,15,0,0,0,5,0,2,0,2
marketplace-discount-layered,com.example.marketplace.model,CartSelection,11,15,0,0,6,6,3,3,3,3
marketplace-discount-layered,com.example.marketplace.model,CartSummary,3,30,0,0,1,11,1,5,1,5
marketplace-discount-layered,com.example.marketplace.model,ProductCategory,0,33,0,0,0,6,0,1,0,1
marketplace-discount-layered,com.example.marketplace.model,CartItem,0,24,0,0,0,7,0,4,0,4
marketplace-discount-layered,com.example.marketplace.model,Product,0,27,0,0,0,10,0,5,0,5
marketplace-discount-layered,com.example.marketplace.repository,InMemoryProductRepository,3,96,0,0,1,9,1,3,1,3
marketplace-discount-layered,com.example.marketplace.service,ProductService,10,0,0,0,4,0,2,0,2,0
marketplace-discount-layered,com.example.marketplace.service,CartService,15,175,3,15,3,44,4,10,1,2
marketplace-discount-layered,com.example.marketplace,MarketplaceApplication,5,3,0,0,2,1,1,1,1,1
