GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
marketplace-discount,com.example.marketplace.controller,CarrinhoController,0,74,2,8,0,15,2,5,0,2
marketplace-discount,com.example.marketplace.controller,HomeController,0,15,0,0,0,5,0,2,0,2
marketplace-discount,com.example.marketplace.model,Produto,0,27,0,0,0,10,0,5,0,5
marketplace-discount,com.example.marketplace.model,CategoriaProduto,0,33,0,0,0,6,0,1,0,1
marketplace-discount,com.example.marketplace.model,ResumoCarrinho,3,30,0,0,1,11,1,5,1,5
marketplace-discount,com.example.marketplace.model,ItemCarrinho,0,24,0,0,0,7,0,4,0,4
marketplace-discount,com.example.marketplace.model,SelecaoCarrinho,0,26,0,0,0,12,0,6,0,6
marketplace-discount,com.example.marketplace.repository,ProdutoEmMemoriaRepository,0,99,0,0,0,10,0,4,0,4
marketplace-discount,com.example.marketplace.service,ServicoCarrinho,13,156,1,12,2,34,2,11,1,4
marketplace-discount,com.example.marketplace.service,ServicoProduto,0,10,0,0,0,4,0,2,0,2
marketplace-discount,com.example.marketplace,AplicacaoMercado,5,3,0,0,2,1,1,1,1,1
